DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2019,5.07,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2011,3.69,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2012,3.69,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2013,3.59,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2014,3.62,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2015,3.56,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2016,3.58,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2017,3.54,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2018,3.65,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2019,3.69,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2020,3.72,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2021,3.58,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FI,2022,3.75,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2011,4.61,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2012,4.54,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2013,4.48,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2014,4.27,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2015,4.29,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2016,4.32,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2017,4.31,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2018,4.23,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2019,4.27,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2020,4.42,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,FR,2021,4.41,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2011,5.58,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2012,5.36,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2013,5.34,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2014,5.12,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2015,5.16,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2016,5.00,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2017,5.03,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2018,5.00,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2019,4.76,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2020,4.61,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HR,2021,4.78,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2011,3.94,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2012,4.00,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2013,4.29,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2014,4.33,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2015,4.30,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2016,4.26,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2017,4.27,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2018,4.35,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2019,4.23,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2020,4.16,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,HU,2021,4.15,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2011,4.63,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2012,4.82,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2013,4.73,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2014,4.90,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2015,4.50,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2016,4.45,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2017,4.63,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2018,4.23,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2019,4.03,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2020,4.07,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IE,2021,3.83,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,IS,2011,3.32,
